datetime,USER_TEXTS,predicted_emotion
2023-05-02,hi i am not well my friends are not even listening to me .i am angry and so pissed off right now i dont have any friend i feel this way byee byee,4
2023-05-03,hi i am sad i dont feel loved bye i am goof byee byee hi i am sad,2
2023-05-04,HIi am not liking this weather yes any other joke i am not well i don't know its just this feeling i just don't feel loved u are the best bye bye,2
2023-05-05,hi how are you i am sad i lost my job bye hi how are you good i am happy  igot a car why i am going out with my friends yes bye whats your name ohh we are friends ohh u know my name  am ananya no  bye u are my friend okay  bye we are friends i am happy,2
2023-05-06,hi how are you i am sad i lost my job nobody loves me hi i am happy today i am going out with my friends a joke hi hi bye how are you,2
2023-05-07,hi how are you i going out  hi how are you i going out  bye hi hi hi hi hi hi i am going out with my friend  hi hi hi hi hi hi hi hi hi hi hi hi i am going out with my friends what is your name a joke hi,0
2023-05-08,hi hi hi HI HI bye hi hi how are you hi how are you bye hi i am sad i donot know bye hi .how are you.i am having fun.tell me a joke.bye Hi.i am having fun.you are my friend.bye hi.you are my friend.i want to talk.i wanna talk.bye .bye joke.more.more joke.bye bye,1
2023-05-09,hi.how are you.bye hi.i am happy.bye .bye hi.bye hi.how are you.i am sad .bye hi.i am sad.bye .bye hi.i am sad.bye hi.i am sad.bye hi.i am sad.yes.bye hi.i am happy.bye hi.i am happy .bye hi.bye hi.i am sad.hi.HI.JI.HI.HI.hi.hi.hi.hi.hi.bye hi.i am sad.hi.HI.JI.HI.HI.hi.bye hi.i am going out with my friend.no body loves me .bye bye i am a dog.you bitch.you shut up.who.so what do i do of your name.shut up.bad.you vent.byee.bye hii.i want to commit murder sould i?.how u doing ?.me too.i have appearance problems.how should i deal with relationship problems.i feel very overwhelmed.i would like relief techniques.bye bye hi.i have realtionship problems.i have relationship problems.bye hi.how are you.bye hi.bye hi.bye hi.bye bye hi.how are you.bye hi.bye,2
2023-05-10,hi.bye,0
2023-07-25,HI.BYE,0
2023-07-26,hi.how are you.bye hi.bye,0
